Player,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
MJ,1,1,40:00:00,15,29,0.517,1,2,0.5,2,2,1,1,5,6,7,2,1,1,0,33,27.5
MJ,2,1,35:00:00,7,22,0.318,0,0,,6,7,0.857,8,3,11,3,3,2,6,3,20,12.8
MJ,3,1,43:00:00,13,27,0.481,1,1,1,9,10,0.9,3,3,6,9,1,0,5,3,36,26
MJ,4,1,44:00:00,15,33,0.455,1,3,0.333,4,5,0.8,2,3,5,6,3,0,5,3,35,20.8
MJ,5,1,39:00:00,13,28,0.464,0,0,,11,12,0.917,0,3,3,5,4,0,0,4,37,29
MJ,6,1,44:00:00,10,27,0.37,0,0,,9,9,1,1,7,8,8,2,0,3,3,29,20.3
MJ,1,1,34:00:00,16,27,0.593,6,10,0.6,1,1,1,2,1,3,11,2,0,1,0,39,36.9
MJ,2,1,50:00:00,16,32,0.5,0,4,0,7,9,0.778,1,4,5,10,1,0,5,5,39,25.1
MJ,3,1,41:00:00,11,22,0.5,0,1,0,4,4,1,2,5,7,4,3,0,5,4,26,17.1
MJ,4,1,44:00:00,11,26,0.423,2,6,0.333,8,8,1,0,5,5,6,0,0,5,4,32,17.3
MJ,5,1,42:00:00,14,23,0.609,2,4,0.5,16,19,0.842,0,5,5,4,0,1,4,5,46,33.3
MJ,6,1,43:00:00,13,24,0.542,2,3,0.667,5,5,1,1,3,4,4,4,1,4,3,33,25.3
MJ,1,1,29:00:00,15,26,0.577,2,4,0.5,3,4,0.75,3,4,7,5,0,0,0,3,35,28
MJ,2,1,38:00:00,10,24,0.417,2,4,0.5,7,8,0.875,0,6,6,4,3,4,0,5,29,24.2
MJ,3,1,40:00:00,16,28,0.571,2,5,0.4,5,5,1,0,7,7,4,2,1,4,4,39,27.8
MJ,1,1,42:00:00,16,30,0.533,0,4,0,11,11,1,0,0,0,4,3,1,3,3,43,30.7
MJ,2,1,31:00:00,8,18,0.444,0,2,0,2,5,0.4,2,3,5,6,2,0,2,0,18,13.9
MJ,3,1,40:00:00,12,24,0.5,0,1,0,8,10,0.8,2,4,6,5,2,0,2,1,32,24.9
MJ,4,1,40:00:00,11,24,0.458,2,2,1,7,9,0.778,3,6,9,6,2,1,4,2,31,23.8
MJ,1,1,43:00:00,10,27,0.37,2,4,0.5,5,6,0.833,1,1,2,5,4,0,1,5,27,17.2
MJ,2,1,39:00:00,12,32,0.375,1,7,0.143,11,13,0.846,3,6,9,1,2,0,3,3,36,20
MJ,3,1,38:00:00,3,18,0.167,0,0,,16,17,0.941,1,7,8,11,2,2,2,1,22,21.7
MJ,4,1,39:00:00,18,30,0.6,6,9,0.667,12,14,0.857,0,6,6,2,2,1,2,5,54,41.3
MJ,5,1,45:00:00,11,24,0.458,0,1,0,7,9,0.778,2,8,10,14,2,1,5,2,29,26.3
MJ,6,1,45:00:00,8,24,0.333,1,4,0.25,8,9,0.889,0,2,2,9,3,2,1,4,25,19.7
MJ,1,1,43:00:00,14,28,0.5,0,1,0,3,4,0.75,2,5,7,5,5,1,2,2,31,25.9
MJ,2,1,40:00:00,18,36,0.5,2,2,1,4,5,0.8,5,7,12,9,2,0,5,2,42,31.7
MJ,3,1,57:00:00,19,43,0.442,3,9,0.333,3,6,0.5,3,6,9,6,2,1,3,5,44,26.1
MJ,4,1,46:00:00,21,37,0.568,0,1,0,13,18,0.722,1,7,8,4,0,0,1,3,55,38.9
MJ,5,1,44:00:00,16,29,0.552,2,7,0.286,7,10,0.7,1,6,7,7,0,2,2,5,41,30.7
MJ,6,1,44:00:00,13,26,0.5,3,5,0.6,4,6,0.667,3,5,8,7,1,0,3,3,33,24.5
MJ,1,1,47:00:00,18,32,0.563,1,4,0.25,11,11,1,1,8,9,8,1,1,3,1,48,39.8
MJ,2,1,40:00:00,13,25,0.52,3,6,0.5,3,6,0.5,3,4,7,7,0,0,5,5,32,19.7
MJ,3,1,38:00:00,9,19,0.474,1,2,0.5,6,7,0.857,2,4,6,3,4,2,6,3,25,17.8
MJ,4,1,41:00:00,8,21,0.381,3,5,0.6,5,6,0.833,1,3,4,5,3,0,3,4,24,15.6
